Identificador,Provincia,Municipio,Zona,Tipo,Precio,Dimensión,Habitaciones,Lavabos,Planta,Ascensor,Parking,Estado,Calefacción,Agua caliente,Antigüedad,Orientación,Amueblado,Consumo,Emisiones,Vendedor,Imagen
153513428,huesca, Huesca Capital, Casco Antiguo,Piso,40500 ,70 ,3 ,3 ,,SI,,,,,Menos de 1 año,,,G,G,SERVIHABITAT SERVICIOS INMOBILIARIOS,SI
158675614,huesca, Almuniente, Almuniente,Piso,22800 ,64 ,3 ,3 ,,SI,,,,,Menos de 1 año,,,G,G,SERVIHABITAT SERVICIOS INMOBILIARIOS,SI
160357646,huesca, Ansó, Ansó,Piso,213000 ,60 ,3 ,3 ,,SI,,,,,Menos de 1 año,,,G,G,SERVIHABITAT SERVICIOS INMOBILIARIOS,SI
159085624,huesca, Huesca Capital, Perpetuo Socorro,Piso,87000 ,114 ,4 ,2 ,,SI,,,,,Menos de 1 año,,,G,G,SERVIHABITAT SERVICIOS INMOBILIARIOS,SI
158677863,huesca, Fonz, Fonz,Piso,16400 ,157 ,3 ,2 ,,SI,,,,,Menos de 1 año,,,G,G,SERVIHABITAT SERVICIOS INMOBILIARIOS,SI
161236979,huesca, Biescas, Biescas,Piso,99900 ,167 ,3 ,2 ,,SI,,,,,Menos de 1 año,,,G,G,SERVIHABITAT SERVICIOS INMOBILIARIOS,SI
161284896,huesca, Torrente de Cinca, Torrente de Cinca,Piso,36000 ,213 ,3 ,2 ,,SI,,,,,Menos de 1 año,,,G,G,SERVIHABITAT SERVICIOS INMOBILIARIOS,SI
160755406,huesca, Graus, Graus,Casa o chalet,85000 ,120 ,4 ,2 ,,SI,,Bien,,,Menos de 1 año,,,G,G,INNOVA-LM,SI
158676101,huesca, Sangarrén, Sangarrén,Piso,20600 ,132 ,3 ,2 ,,SI,,Bien,,,Menos de 1 año,,,G,G,SERVIHABITAT SERVICIOS INMOBILIARIOS,SI
158983003,huesca, Binéfar, Binéfar,Piso,164400 ,272 ,4 ,2 ,,SI,,Bien,,,Menos de 1 año,,,G,G,SERVIHABITAT SERVICIOS INMOBILIARIOS,SI
157290507,huesca, La Fueva, La Fueva,Finca rústica,89500 ,410 ,4 ,2 ,,SI,,Bien,,,Menos de 1 año,,,G,G,INNOVA-LM,SI
156409698,huesca, Sabiñánigo, Sabiñánigo Centro - Aurín,Piso,72100 ,132 ,4 ,2 ,,SI,,Bien,,,Menos de 1 año,,,G,G,SERVIHABITAT SERVICIOS INMOBILIARIOS,SI
156777646,huesca, Huesca Capital, Perpetuo Socorro,Piso,24400 ,50 ,3 ,2 ,,SI,,Bien,,,Menos de 1 año,,,G,G,SERVIHABITAT SERVICIOS INMOBILIARIOS,SI
158239339,huesca, Huesca Capital,Perpetuo Socorro,Piso,56000 ,58 ,2 ,2 ,,SI,,Bien,,,Menos de 1 año,,,G,G,OUTLETDEVIVIENDAS,SI
161599137,huesca, Angüés, Angüés,Finca rústica,85600 ,249  terreno,4 ,2 ,,SI,Privado,Muy bien,,,30 a 50 años,Oeste,Sí,G,G,Particular: Anuncio Particular,SI
161411733,huesca, Huesca Capital, Perpetuo Socorro,Piso,150000 ,90 ,3 ,2 ,,SI,Privado,Bien,Gas Natural,,20 a 30 años,Oeste,Sí,G,G,FINCAS ALTO ARAGON,SI
161157215,huesca, Aínsa-sobrarbe, Aínsa-sobrarbe,Piso,92000 ,54 ,2 ,2 ,,SI,Privado,Bien,Gas Natural,,20 a 30 años,Este,Sí,E,G,Ninmo Brarbe,SI
157921719,huesca,Barbastro,Barbastro,Piso,31000 ,75 ,3 ,2 ,,SI,Privado,Bien,Gas Natural,,20 a 30 años,Este,Sí,G,G,OUTLETDEVIVIENDAS,SI
161157014,huesca, Aínsa-sobrarbe, Aínsa-sobrarbe,Ático,92000 ,53 ,2 ,2 ,,SI,Privado,Bien,Gas Natural,,20 a 30 años,Este,Sí,E,G,Ninmo Brarbe,SI
160714925,huesca, Jaca, Paseo de la Cantera,Casa o chalet,900000 ,500 ,7 ,5 ,,SI,Privado,Casi nuevo,Electricidad,Electricidad,20 a 30 años,Este,Sí,G,G,Segurdela Inmobiliaria,SI
160886755,huesca, Aínsa-sobrarbe, Aínsa-sobrarbe,Ático,125000 ,75 ,3 ,5 ,,SI,Privado,Casi nuevo,Electricidad,Electricidad,10 a 20 años,Este,Sí,E,E,Ninmo Brarbe,SI
160600288,huesca, Alcalá de Gurrea, Alcalá de Gurrea,Piso,A consultar,35 ,3 ,5 ,,SI,Privado,A reformar,Electricidad,Electricidad,10 a 20 años,Sureste,No,G,G,TERRA ESPAÑA,SI
160886498,huesca, Campo, Campo,Piso,90000 ,66 ,2 ,5 ,,SI,Privado,A reformar,Electricidad,Electricidad,5 a 10 años,Sureste,No,E,E,Ninmo Brarbe,SI
161654161,huesca,Grañén, España,Casa adosada,63000 ,116 ,4 ,5 ,,SI,Privado,A reformar,Electricidad,Electricidad,5 a 10 años,Sureste,No,E,E,MEDIATA SOLUCIONES,SI
159202606,huesca,Barbastro,Barbastro,Piso,24000 ,75 ,2 ,5 ,,SI,Privado,A reformar,Electricidad,Electricidad,5 a 10 años,Sureste,No,G,G,Profesional,SI
161652136,huesca, Zaidín, Zaidín,Casa o chalet,36000 ,125 ,4 ,,,,,,,,,,,E,G,SOLVIA SERVICIOS INMOBILIARIOS S.L.,SI
161652124,huesca, Huesca Capital, Perpetuo Socorro,Apartamento,38000 ,72 ,3 ,,,,,,,,,,,G,G,SOLVIA SERVICIOS INMOBILIARIOS S.L.,SI
160737977,huesca, Alcalá de Gurrea, Alcalá de Gurrea,Casa o chalet,29000 ,48 ,2 ,,,,,,,,,,,G,G,PIRINEOS CASA,SI
161650968,huesca, El Grado, El Grado,Piso,130000 ,160 ,4 ,2 ,,,,,,,,,,E,G,SOLVIA SERVICIOS INMOBILIARIOS S.L.,SI
161650797,huesca, Fraga, Fraga,Apartamento,A consultar,42 ,4 ,2 ,,,,,,,,,,G,G,SOLVIA SERVICIOS INMOBILIARIOS S.L.,SI
161650317,huesca, Binéfar, Binéfar,Apartamento,111000 ,106 ,3 ,2 ,,,,,,,,,,G,G,SOLVIA SERVICIOS INMOBILIARIOS S.L.,SI
161650315,huesca, Huesca Capital, Perpetuo Socorro,Apartamento,38000 ,73 ,2 ,2 ,,,,,,,,,,G,G,SOLVIA SERVICIOS INMOBILIARIOS S.L.,SI
161650167,huesca, Biescas, Biescas,Casa o chalet,89000 ,150 ,2 ,2 ,,,,,,,,,,G,G,SOLVIA SERVICIOS INMOBILIARIOS S.L.,SI
160781894,huesca,Binéfar,Binéfar,Piso,164400 ,272 ,4 ,2 ,,,,,,,,,,G,G,OUTLETDEVIVIENDAS,SI
149175408,huesca,Graus,Candanchu/Aisa - Urbanizacion Aludes - Calle Cresta,Piso,120000 ,45 ,4 ,2 ,,,Privado,Bien,Electricidad,Gas Natural,,Sur,Sí,G,G,INMOBILIARIA SAN JERONIMO,SI
153760189,huesca, Binaced, Binaced,Casa adosada,30000 ,229 ,3 ,2 ,,,Privado,A reformar,Electricidad,Gas Natural,,Sur,Sí,G,G,ESPATIUM,SI
161244080,huesca, Huesca Capital, Santiago,Piso,120000 ,90 ,4 ,2 ,,SI,Privado,A reformar,Electricidad,Gas Natural,,Sur,Sí,G,G,FINCAS ALCORAZ,SI
161587638,huesca, Ontiñena, Ontiñena,Casa adosada,48000 ,110 ,2 ,2 ,,SI,Privado,Bien,Electricidad,Gas Natural,,Noroeste,Sí,C,C,Particular: Anuncio Particular,SI
161587690,huesca, Alcalá de Gurrea, Alcalá de Gurrea,Casa o chalet,55000 ,94 ,3 ,2 ,,SI,Privado,Bien,Gasóleo,Gasóleo,,Oeste,Sí,G,G,ARAGON FINCAS,SI
159622340,huesca,Benasque,Benasque,Casa adosada,290000 ,226 ,3 ,2 ,,SI,Privado,Bien,Gasóleo,Gasóleo,,Oeste,Sí,G,G,OUTLETDEVIVIENDAS,SI
158575487,huesca,Lalueza,Lalueza,Casa o chalet,75000 ,178 ,4 ,2 ,,SI,Privado,Bien,Gasóleo,Gasóleo,50 a 70 años,Oeste,Sí,G,G,GROCASA,SI
155536094,huesca, La Puebla de Castro,La Puebla de Castro,Casa o chalet,80000 ,190 ,4 ,2 ,,SI,Privado,Bien,Gasóleo,Gasóleo,+ 100 años,Oeste,Sí,G,G,FINQUES CITY GRUP,SI
161285477,huesca, Caldearenas, Caldearenas,Finca rústica,292000 ,130000 ,4 ,4 ,,SI,Privado,Bien,Gasóleo,Gasóleo,+ 100 años,Oeste,Sí,G,G,FINCAS ALCORAZ,SI
159745137,huesca, Sabiñánigo, Sardas - Puente de Sabiñánigo,Piso,58500 ,80 ,3 ,4 ,,SI,Privado,Bien,Gasóleo,Gasóleo,Menos de 1 año,Oeste,Sí,G,G,SERVIHABITAT SERVICIOS INMOBILIARIOS,SI
161645061,huesca, Huesca Capital, San Lorenzo,Piso,138200 ,88 ,2 ,4 ,,SI,Comunitario,Bien,Gasóleo,Gasóleo,10 a 20 años,Oeste,Sí,G,G,PISOSENHUESCA.COM,SI
160074110,huesca,Robres,Robres,Casa adosada,66000 ,420 ,5 ,2 ,,SI,Comunitario,Bien,Gasóleo,Gasóleo,10 a 20 años,Oeste,Sí,G,G,Profesional,SI
161153772,huesca, Huesca Capital,Perpetuo Socorro,Piso,50000 ,64 ,3 ,2 ,,SI,Comunitario,Bien,Gasóleo,Gasóleo,10 a 20 años,Oeste,Sí,G,G,Profesional,SI
160044316,huesca,Monzón,Monzón,Piso,49000 ,98 ,2 ,2 ,,SI,Comunitario,Bien,Gasóleo,Gasóleo,10 a 20 años,Oeste,Sí,G,G,Profesional,SI
160975350,huesca, Casbas de Huesca, Casbas de Huesca,Casa o chalet,95500 ,633 ,2 ,2 ,,SI,Comunitario,Bien,Gasóleo,Gasóleo,10 a 20 años,Oeste,Sí,G,G,PISOSENHUESCA.COM,SI
161641101,huesca, Jaca, Centro - Llano Samper,Planta baja,16000 ,15 ,2 ,2 ,,SI,Comunitario,Bien,Gasóleo,Gasóleo,10 a 20 años,Oeste,Sí,G,G,J.J.A. BAUTISTA SL,SI
161641084,huesca, Aínsa-sobrarbe, Aínsa-sobrarbe,Piso,135000 ,90 ,3 ,2 ,,SI,Privado,Bien,Gasóleo,Gasóleo,20 a 30 años,Oeste,Sí,E,E,Ninmo Brarbe,SI
130884378,huesca, Jaca, Centro - Llano Samper,Casa o chalet,320000 ,218 ,5 ,2 ,,SI,Privado,Muy bien,Gasóleo,Gasóleo,20 a 30 años,Oeste,No,G,G,J.J.A. BAUTISTA SL,SI
161639191,huesca, Aisa, Aisa,Piso,A consultar,50 ,3 ,2 ,,SI,Privado,Reformado,Gasóleo,Gasóleo,20 a 30 años,Oeste,No,B,A,Particular: patricia,SI
161639055,huesca, Villanova, Villanova,Dúplex,150000 ,82 ,3 ,2 ,,SI,Privado,Casi nuevo,Gas Natural,Gas Natural,20 a 30 años,Oeste,Sí,G,G,APARTAMENTOSBENASQUE.COM,SI
160698747,huesca, Sabiñánigo, Sabiñánigo Centro - Aurín,Piso,116700 ,102 ,2 ,2 ,,SI,Privado,Casi nuevo,Gas Natural,Gas Natural,20 a 30 años,Oeste,Sí,G,G,ALTAMIRA,SI
160942576,huesca,Monzón,Monzón,Piso,52000 ,75 ,3 ,,,,,,,,30 a 50 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
160963331,huesca,Monzón,Monzón,Piso,63000 ,170 ,3 ,2 ,,,,,,,50 a 70 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
154267584,huesca,Albalate de Cinca,Albalate De Cinca,Casa o chalet,110000 ,545 ,6 ,2 ,,,Privado,,,,50 a 70 años,Este,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
154198692,huesca,Monzón,Monzón,Piso,32000 ,55 ,3 ,2 ,,,Privado,,,,50 a 70 años,Sureste,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
161039692,huesca,Binéfar,Binéfar,Piso,98000 ,117 ,3 ,2 ,,,Privado,,,,50 a 70 años,Sureste,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
152421759,huesca,Barbastro,Barbastro,Piso,79000 ,45 ,3 ,2 ,,SI,Privado,,,,10 a 20 años,Noreste,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
152421793,huesca,El Grado,Grado (El),Finca rústica,48000 ,170 ,4 ,2 ,,SI,Privado,,,,10 a 20 años,Sureste,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
156714695,huesca,Salas Bajas,Salas Bajas,Casa o chalet,75000 ,110 ,2 ,2 ,,SI,Privado,,,,10 a 20 años,Sureste,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
153905972,huesca,Monzón,Monzón,Piso,79000 ,82 ,3 ,2 ,,SI,Privado,,,,30 a 50 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
158647515,huesca,San Miguel del Cinca,San Miguel Del Cinca,Casa o chalet,27000 ,161 ,3 ,2 ,,SI,Privado,,,,30 a 50 años,Sur,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
158437645,huesca,Alcolea de Cinca,Alcolea de Cinca,Piso,49500 ,93 ,4 ,2 ,,SI,Privado,,,,30 a 50 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
160942572,huesca,Monzón,Monzón,Piso,155000 ,100 ,3 ,2 ,,SI,Privado,,,,5 a 10 años,Este,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
151212276,huesca,Albalate de Cinca,Albalate De Cinca,Casa o chalet,61000 ,215 ,4 ,2 ,,SI,Privado,,,,5 a 10 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
160770817,huesca,Abiego,Abiego,Casa o chalet,48000 ,240 ,4 ,2 ,,SI,Privado,,,,+ 100 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
151212217,huesca,El Grado,Grado (El),Casa adosada,66000 ,250 ,4 ,2 ,,SI,Privado,,,,+ 100 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
153327646,huesca,Barbastro,Barbastro,Piso,55000 ,70 ,3 ,2 ,,SI,Privado,,,,30 a 50 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
151212302,huesca,Peralta de Calasanz,Peralta De Calasanz,Casa o chalet,52000 ,170 ,4 ,2 ,,SI,Privado,,,,50 a 70 años,Este,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
160582392,huesca,La Puebla de Castro,Puebla De Castro (La),Piso,153000 ,130 ,2 ,2 ,,SI,Privado,,,,50 a 70 años,Este,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
151212316,huesca,Barbastro,Barbastro,Casa o chalet,30000 ,148 ,4 ,2 ,,SI,Privado,,,,+ 100 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
151212191,huesca,Santa María de Dulcis,Pozán De Vero,Casa adosada,89000 ,230 ,4 ,2 ,,SI,Privado,,,,30 a 50 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
160963330,huesca,Monzón,Monzón,Casa adosada,230000 ,210 ,4 ,3 ,,SI,Privado,,,,20 a 30 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
158190312,huesca,Barbastro,Barbastro,Casa adosada,29000 ,100 ,4 ,3 ,,SI,Privado,,,,20 a 30 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
159700123,huesca,Barbastro,Barbastro,Piso,84000 ,88 ,3 ,3 ,,SI,Privado,,,,50 a 70 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
160696484,huesca,La Puebla de Castro,Puebla De Castro (La),Casa o chalet,133000 ,178 ,2 ,2 ,,SI,Privado,,,,50 a 70 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
160582393,huesca,Binéfar,Binéfar,Piso,111000 ,100 ,3 ,2 ,,SI,Privado,,,,50 a 70 años,Este,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
160925021,huesca,San Esteban de Litera,San Esteban De Litera,Casa o chalet,63000 ,98 ,3 ,2 ,,SI,Privado,,,,50 a 70 años,Este,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
160718671,huesca,Monzón,Monzón,Ático,129000 ,105 ,3 ,2 ,,SI,Privado,,,,10 a 20 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
153314017,huesca,Barbastro,Barbastro,Piso,91000 ,85 ,4 ,2 ,,SI,Privado,,,,30 a 50 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
155144820,huesca,Pueyo de Santa Cruz,Pueyo de Santa Cruz,Casa o chalet,322000 ,320 ,5 ,2 ,,SI,Privado,,,,30 a 50 años,Este,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
160556251,huesca,Monzón,Monzón,Planta baja,125000 ,96 ,3 ,2 ,,SI,Privado,,,,20 a 30 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
156692680,huesca,Barbastro,Barbastro,Piso,45000 ,75 ,3 ,,,,,,,,,,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
151199716,huesca,Barbastro,Barbastro,Piso,59000 ,70 ,3 ,,,,,,,,,,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
151199707,huesca,Pueyo de Santa Cruz,Pueyo de Santa Cruz,Casa o chalet,195000 ,661 ,4 ,2 ,,,Privado,,,,+ 100 años,Sur,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
159000156,huesca,Monzón,Monzón,Casa o chalet,49000 ,161 ,4 ,2 ,,,Privado,,,,+ 100 años,Este,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
152574896,huesca,Monzón,Monzón,Casa o chalet,169000 ,474 ,6 ,3 ,,,Privado,,,,70 a 100 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
158582088,huesca,Monzón,Monzón,Piso,72000 ,95 ,4 ,2 ,,SI,Privado,,,,30 a 50 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
158891196,huesca,Azanuy-alins,Azanuy-alins,Casa o chalet,39000 ,1189 ,4 ,2 ,,SI,Privado,,,,30 a 50 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
152574895,huesca,San Miguel del Cinca,San Miguel Del Cinca,Casa o chalet,18000 ,102 ,2 ,2 ,,SI,Privado,,,,+ 100 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
155827314,huesca,El Grado,Grado (El),Casa adosada,28000 ,60 ,2 ,2 ,,SI,Privado,,,,+ 100 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
155761463,huesca,Salas Bajas,Salas Bajas,Casa o chalet,315000 ,500 ,5 ,3 ,,SI,Privado,,,,+ 100 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
151212151,huesca,Barbastro,Barbastro,Casa o chalet,290000 ,300 ,4 ,2 ,,SI,Privado,,,,30 a 50 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
151212269,huesca,Estadilla,Estadilla,Finca rústica,100000 ,160 ,3 ,2 ,,SI,Privado,,,,30 a 50 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
158291396,huesca,Albelda,Albelda,Casa o chalet,70000 ,200 ,4 ,2 ,,SI,Privado,,,,30 a 50 años,Suroeste,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
151827357,huesca,Fonz,Fonz,Casa o chalet,20000 ,250 ,6 ,3 ,,SI,Privado,,,,30 a 50 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
158963426,huesca,Monzón,Monzón,Piso,59000 ,60 ,3 ,3 ,,SI,Privado,,,,50 a 70 años,Este,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
159853755,huesca,El Grado,Grado (El),Finca rústica,63000 ,40 ,3 ,3 ,,SI,Privado,,,,50 a 70 años,Este,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
151212240,huesca,Castillonroy,Castillonroy,Casa o chalet,42000 ,120 ,4 ,3 ,,SI,Privado,,,,50 a 70 años,Este,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
156466408,huesca,Monzón,Monzón,Piso,75000 ,80 ,3 ,3 ,,SI,Privado,,,,50 a 70 años,Este,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
156525210,huesca,Fonz,Fonz,Casa o chalet,389000 ,756 ,6 ,3 ,,SI,Privado,,,,70 a 100 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
154538798,huesca,Monzón,Monzón,Casa o chalet,35000 ,75 ,3 ,3 ,,SI,Privado,,,,50 a 70 años,Norte,,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
